id,name,unit,region_name,indicator_topic,indicator_source,indicator_name,indicator_group,url,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CF,Central African Republic,Millions of people,Central Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/central-african-republic,1.41332697868347,1.44552004337311,1.47716200351715,1.50841701030731,1.53954195976257,1.57146096229553,1.6047979593277,1.63930094242096,1.67323100566864,1.70418202877045,1.73065197467804,1.75175297260284,1.76869201660156,1.78468799591064,1.80431497097015,1.83105397224426,1.86622798442841,1.90928304195404,1.95958697795868,2.01570796966553,2.07653403282166,2.14217090606689,2.21305990219116
CG,Congo Republic,Current US$,Central Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/congo-republic,3224049664.0,2796221440.0,3034618112.0,3675675136.0,4648628736.0,6076574208.0,7731260928.0,7435463680.0,10176051200.0,9338968064.0,12281046016.0,14765746176.0,17704116224.0,17959002112.0,17917599744.0,11891463168.0,10341842944.0,11231513600.0,12482307072.0,12103615488.0,9399951360.0,11226485760.0,12821777408.0
CG,Congo Republic,Millions of people,Central Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/congo-republic,1.33238697052002,1.35429298877716,1.37592399120331,1.39835596084595,1.42294502258301,1.45056295394897,1.48156797885895,1.51524496078491,1.54962396621704,1.58237099647522,1.61186599731445,1.63758504390717,1.66018295288086,1.68072998523712,1.70076501369476,1.72136199474335,1.7427339553833,1.76452195644379,1.78649497032166,1.8082640171051,1.82956397533417,1.85039103031158,1.8708770275116
CG,Congo Republic,Millions of people,Central Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/congo-republic,1.89333999156952,1.96151304244995,2.03125596046448,2.10416293144226,2.1824939250946,2.26767992973328,2.36079692840576,2.46100091934204,2.56581091880798,2.67134094238281,2.774827003479,2.87514495849609,2.97318005561829,3.07066297531128,3.1703360080719,3.27428603172302,3.38308691978455,3.49622797966003,3.61339998245239,3.73393297195435,3.85735297203064,3.98369789123535,4.11331176757813
CI,Cote d'Ivoire,Current US$,West Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/cote-divoire,10717023232.0,11192560640.0,12346918912.0,15306602496.0,16554441728.0,17084928000.0,17800888320.0,20341870592.0,24224905216.0,24277493760.0,24884504576.0,25669752832.0,37029752832.0,43227185152.0,48882454528.0,45814636544.0,47964225536.0,51588153344.0,58011475968.0,58539417600.0,61437317120.0,71344717824.0,79983788032.0
CI,Cote d'Ivoire,Millions of people,West Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/cote-divoire,9.48552417755127,9.6160364151001,9.72811698913574,9.8298168182373,9.93172931671143,10.0421142578125,10.1627950668335,10.2929277420044,10.4332675933838,10.5842609405518,10.7453727722168,10.9176578521729,11.1007871627808,11.292254447937,11.487771987915,11.6827926635742,11.8761701583862,12.0681867599487,12.2590227127075,12.449330329895,12.6394376754761,12.8289842605591,13.0172109603882
CI,Cote d'Ivoire,Millions of people,West Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/cote-divoire,7.20103693008423,7.42411613464355,7.63840007781982,7.84953784942627,8.06600856781006,8.294189453125,8.53664016723633,8.79301261901855,9.06471824645996,9.35210514068604,9.65595817565918,9.97765254974365,10.3178157806396,10.6740579605103,11.0435781478882,11.4256792068481,11.819748878479,12.2265634536743,12.6468200683594,13.0817527770996,13.5323123931885,13.9987440109253,14.480845451355
CM,Cameroon,Current US$,Central Africa,National Account,AfDB Data portal,GDP (current US$),Social and Economic,/aep/country/cameroon,9299305472.0,9633108992.0,10879778816.0,13621738496.0,15775356928.0,16587857920.0,17953064960.0,20431835136.0,26409783296.0,26017925120.0,26143817728.0,29337006080.0,29121200128.0,32357816320.0,34998509568.0,30931785728.0,32634689536.0,34996903936.0,38711705600.0,39009009664.0,39938285568.0,46870421504.0,49916407808.0
CM,Cameroon,Millions of people,Central Africa,Population,AfDB Data portal,Rural population (millions of people),Social and Economic,/aep/country/cameroon,8.31811618804932,8.44108581542969,8.56712532043457,8.69647407531738,8.82890033721924,8.96461963653564,9.10324192047119,9.24446487426758,9.38738632202148,9.53083610534668,9.67388725280762,9.81616401672363,9.95750331878662,10.0974798202515,10.2357168197632,10.3719072341919,10.505784034729,10.6371898651123,10.7661018371582,10.8925838470459,11.0166606903076,11.1382761001587,11.2573461532593
CM,Cameroon,Millions of people,Central Africa,Population,AfDB Data portal,Urban population (millions of people),Social and Economic,/aep/country/cameroon,6.95611810684204,7.23084115982056,7.51776123046875,7.81734800338745,8.13018131256104,8.45617485046387,8.79631996154785,9.15092372894287,9.51962184906006,9.90170478820801,10.2966079711914,10.7042827606201,11.1248798370361,11.558235168457,12.004186630249,12.4626150131226,12.9334049224854,13.4165372848511,13.9121322631836,14.4204092025757,14.9415225982666,15.4754886627197,16.0222625732422
