country,country_serial,metric,unit,sector,sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Angola,AO,Electricity generation per capita (KWh),KWh per capita,Electricity,Supply,/aep/country/angola,AFREC Database,87.8904571533203,94.4458847045898,101.123054504395,109.595092773438,118.892890930176,135.685699462891,146.034027099609,153.207336425781,180.611434936523,185.014785766602,233.128067016602,233.333450317383,238.970916748047,309.120269775391,352.148376464844,350.475433349609,359.588897705078,359.917114257813,424.919891357422,424.901947021484,426.194580078125,428.768798828125,
Angola,AO,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,/aep/country/angola,AFREC Database,1445.0,1604.0,1777.0,1995.0,2243.0,2653.0,2959.0,3217.0,3930.0,4172.0,5448.0,5651.0,5997.25048828125,8036.6142578125,9480.0,9764.0,10361.0,10719.83984375,13076.56640625,13506.5966796875,13990.86328125,14532.904296875,
Angola,AO,Electricity import (GWh),GWh,Electricity,Supply,/aep/country/angola,AFREC Database,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angola,AO,Electricity: Net imports ( GWh ),GWh,Electricity,Supply,/aep/country/angola,AFREC Database,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angola,AO,Energy intensity level of primary energy (MJ/2017 PPP GDP),MJ/USD PPP 2017,Energy,Efficiency,/aep/country/angola,Tracking SDG7/WBG,3.76510000228882,3.73970007896423,3.41070008277893,3.56279993057251,3.23480010032654,2.64079999923706,2.64619994163513,2.54559993743896,2.51259994506836,2.76780009269714,2.64730000495911,2.65420007705688,2.77749991416931,2.65070009231567,2.29239988327026,2.72480010986328,2.59310007095337,2.65429997444153,2.47009992599487,2.66109991073608,2.80220007896423,3.10240006446838,
Benin,BJ,Electricity export (GWh),GWh,Electricity,Supply,/aep/country/benin,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4349000453949,
Benin,BJ,Electricity final consumption (GWh),GWh,Electricity,Supply,/aep/country/benin,AFREC Database,399.0,435.0,498.0,498.0,486.0,545.0,589.0,614.0,672.0,748.0,786.0,842.0,877.0,911.0,985.0,1127.79748535156,1149.0,1139.35656738281,1182.64855957031,1213.89831542969,1247.57836914063,1408.53186035156,
Benin,BJ,Electricity final consumption per capita (KWh),KWh per capita,Electricity,Supply,/aep/country/benin,AFREC Database,58.1128540039063,61.4690437316895,68.2622451782227,66.2185134887695,62.709644317627,68.2767028808594,71.6815719604492,72.6215438842773,77.2687683105469,83.624885559082,85.4416656494141,88.9987945556641,90.1413879394531,91.0594787597656,95.7546157836914,106.637893676758,105.681411743164,101.949592590332,102.967346191406,102.858848571777,102.910179138184,113.138641357422,
Benin,BJ,Electricity generated from biofuels and waste (GWh),GWh,Electricity,Supply,/aep/country/benin,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01066660881042,1.02141177654266,1.0322459936142,1.0322459936142,1.04316413402557,1.05419027805328,1.06473219394684,
Benin,BJ,Electricity generated from fossil fuels (GWh),GWh,Electricity,Supply,/aep/country/benin,AFREC Database,132.0,127.0,151.0,159.0,178.0,235.0,324.0,406.0,229.0,138.0,150.0,153.0,160.0,172.0,239.0,323.0,335.0,324.564544677734,216.908294677734,221.648849487305,226.496459960938,917.111633300781,
Benin,BJ,Electricity generated from geothermal energy (GWh),GWh,Electricity,Supply,/aep/country/benin,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Benin,BJ,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,/aep/country/benin,AFREC Database,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Benin,BJ,Electricity generated from nuclear power (GWh),GWh,Electricity,Supply,/aep/country/benin,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Benin,BJ,Electricity generated from renewable sources (GWh),GWh,Electricity,Supply,/aep/country/benin,AFREC Database,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,6.01066637039185,6.02141189575195,6.09349632263184,6.15552806854248,6.23974847793579,6.33490991592407,16.0363273620605,
Benin,BJ,"Electricity generated from solar, wind, tide, wave and other sources (GWh)",GWh,Electricity,Supply,/aep/country/benin,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,5.06125020980835,5.12328195571899,5.19658422470093,5.28071975708008,14.9715948104858,
Benin,BJ,Electricity generation per capita (KWh),KWh per capita,Electricity,Supply,/aep/country/benin,AFREC Database,19.5165977478027,18.2287502288818,20.9721374511719,21.407995223999,23.0967617034912,29.5656909942627,39.9177513122559,48.3749389648438,26.6761226654053,15.5399179458618,16.4143657684326,16.2776889801025,16.5481910705566,17.2923049926758,24.0115642547607,31.1093273162842,31.3660774230957,29.5872650146484,19.4210529327393,19.3099918365479,19.20578956604,74.953987121582,
Benin,BJ,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,/aep/country/benin,AFREC Database,134.0,129.0,153.0,161.0,179.0,236.0,328.0,409.0,232.0,139.0,151.0,154.0,161.0,173.0,247.0,329.010681152344,341.021423339844,330.658050537109,223.063827514648,227.888595581055,232.83137512207,933.14794921875,
Benin,BJ,Electricity import (GWh),GWh,Electricity,Supply,/aep/country/benin,AFREC Database,374.0,456.0,533.0,513.0,578.0,595.0,589.0,662.0,662.0,866.0,935.0,931.0,983.0,987.534606933594,968.0,1046.0,1088.0,1169.7060546875,1293.17297363281,1396.82702636719,1512.94702148438,607.434875488281,
Benin,BJ,Electricity: Net imports ( GWh ),GWh,Electricity,Supply,/aep/country/benin,AFREC Database,374.0,456.0,533.0,513.0,578.0,595.0,589.0,662.0,662.0,866.0,935.0,931.0,983.0,987.534606933594,968.0,1046.0,1088.0,1169.7060546875,1293.17297363281,1396.82702636719,1512.94702148438,606.0,
Benin,BJ,Energy intensity level of primary energy (MJ/2017 PPP GDP),MJ/USD PPP 2017,Energy,Efficiency,/aep/country/benin,Tracking SDG7/WBG,4.87930011749268,4.92630004882813,5.05000019073486,5.14870023727417,5.14729976654053,5.07849979400635,5.7649998664856,5.91379976272583,5.76300001144409,5.90950012207031,5.99690008163452,5.82140016555786,5.61320018768311,5.71299982070923,5.54090023040771,5.79360008239746,6.2221999168396,6.10869979858398,6.04540014266968,5.6939001083374,5.78889989852905,4.79010009765625,
Botswana,BW,Electricity export (GWh),GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Botswana,BW,Electricity final consumption (GWh),GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,1770.0,1927.0,2044.0,2244.0,2425.0,2360.0,2626.0,2599.0,2723.0,2918.0,3108.0,3118.0,3198.0,3310.0,3449.0,3552.85205078125,3479.0,3294.01049804688,3385.71704101563,3534.00512695313,3694.96411132813,3995.07446289063,
Botswana,BW,Electricity final consumption per capita (KWh),KWh per capita,Electricity,Supply,/aep/country/botswana,AFREC Database,1024.10400390625,1098.04638671875,1148.34497070313,1243.66870117188,1325.62194824219,1271.65307617188,1393.66687011719,1357.59558105469,1399.02819824219,1473.8251953125,1542.53430175781,1519.98278808594,1530.64526367188,1555.08056640625,1590.44677734375,1608.20971679688,1546.04357910156,1437.38977050781,1451.10388183594,1488.23022460938,1529.52062988281,1626.35681152344,
Botswana,BW,Electricity generated from biofuels and waste (GWh),GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Botswana,BW,Electricity generated from fossil fuels (GWh),GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,947.0,949.0,842.0,1113.0,991.0,971.0,1042.0,659.0,583.0,444.0,430.0,693.7919921875,2249.56811523438,1906.0,2312.0,2966.0,2686.0,2720.41918945313,3057.45434570313,3101.80712890625,3149.3642578125,3656.462890625,
Botswana,BW,Electricity generated from geothermal energy (GWh),GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Botswana,BW,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Botswana,BW,Electricity generated from nuclear power (GWh),GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Botswana,BW,Electricity generated from renewable sources (GWh),GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73040008544922,7.53359985351563,8.76000022888184,11.0,2.0,2.0,2.04229593276978,0.0020900000818073,0.0021318751387298,0.0021724561229348,6.0,
Botswana,BW,"Electricity generated from solar, wind, tide, wave and other sources (GWh)",GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73040008544922,7.53359985351563,8.76000022888184,11.0,2.0,2.0,2.04229593276978,0.0020900000818073,0.0021318751387298,0.0021724561229348,6.0,
Botswana,BW,Electricity generation per capita (KWh),KWh per capita,Electricity,Supply,/aep/country/botswana,AFREC Database,547.924621582031,540.7607421875,473.046203613281,616.846374511719,541.728393554688,523.209838867188,553.008666992188,344.230651855469,299.534881591797,224.255783081055,213.413696289063,340.520202636719,1080.30712890625,899.578918457031,1071.21130371094,1343.474609375,1194.52868652344,1187.98596191406,1310.4130859375,1306.22509765625,1303.67175292969,1490.9541015625,
Botswana,BW,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,947.0,949.0,842.0,1113.0,991.0,971.0,1042.0,659.0,583.0,444.0,430.0,698.522399902344,2257.10180664063,1914.76000976563,2323.0,2968.0,2688.0,2722.46142578125,3057.45654296875,3101.80932617188,3149.36645507813,3662.462890625,
Botswana,BW,Electricity import (GWh),GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,809.0,809.0,809.0,1238.0,1617.0,1754.0,1754.0,2610.0,2792.0,2887.0,2985.0,3180.0,3371.0,2819.0,1684.0,1468.0,1673.0,1306.71496582031,1340.81701660156,1366.86096191406,1393.01904296875,1393.04138183594,
Botswana,BW,Electricity: Net imports ( GWh ),GWh,Electricity,Supply,/aep/country/botswana,AFREC Database,809.0,809.0,809.0,1238.0,1617.0,1754.0,1754.0,2610.0,2792.0,2887.0,2985.0,3180.0,3371.0,2819.0,1684.0,1468.0,1673.0,1306.71496582031,1340.81701660156,1366.86096191406,1393.01904296875,1393.04138183594,
Botswana,BW,Energy intensity level of primary energy (MJ/2017 PPP GDP),MJ/USD PPP 2017,Energy,Efficiency,/aep/country/botswana,Tracking SDG7/WBG,3.83629989624023,3.79220008850098,3.58550000190735,3.39120006561279,3.44420003890991,3.38529992103577,3.26290011405945,3.18140006065369,3.23819994926453,3.44109988212585,3.40350008010864,3.0357999801635698,3.46679997444153,3.28649997711182,3.39249992370605,3.54979991912842,3.17440009117126,3.1784999370575,3.24790000915527,2.92079997062683,2.88639998435974,2.68289995193481,
Burkina Faso,BF,Electricity export (GWh),GWh,Electricity,Supply,/aep/country/burkina-faso,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Burkina Faso,BF,Electricity final consumption (GWh),GWh,Electricity,Supply,/aep/country/burkina-faso,AFREC Database,346.714996337891,373.561004638672,419.091003417969,421.480010986328,465.760009765625,503.480010986328,563.117736816406,602.942077636719,619.195373535156,692.399108886719,778.899475097656,908.108520507813,1205.73681640625,1340.20581054688,1376.97595214844,1135.23608398438,1167.98132324219,2560.27099609375,2221.88012695313,2297.82055664063,2391.36645507813,2946.80126953125,
Burkina Faso,BF,Electricity final consumption per capita (KWh),KWh per capita,Electricity,Supply,/aep/country/burkina-faso,AFREC Database,29.8687801361084,31.2744941711426,34.0915641784668,33.3064117431641,35.7436408996582,37.5117454528809,40.7195281982422,42.3057289123535,42.1515846252441,45.7297744750977,49.9127540588379,56.4677352905273,72.7609100341797,78.4998550415039,78.2996444702148,62.6834411621094,62.6383171081543,133.393447875977,112.490852355957,113.073059082031,114.401092529297,137.079895019531,
Burkina Faso,BF,Electricity generated from biofuels and waste (GWh),GWh,Electricity,Supply,/aep/country/burkina-faso,AFREC Database,6.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109999999403954,
Burkina Faso,BF,Electricity generated from fossil fuels (GWh),GWh,Electricity,Supply,/aep/country/burkina-faso,AFREC Database,302.0,320.0,308.0,349.0,372.0,390.0,467.728912353516,501.295227050781,483.468231201172,567.492553710938,447.832458496094,530.27001953125,381.894866943359,625.22998046875,722.0,1709.9189453125,1800.52465820313,1447.88000488281,889.433715820313,948.491943359375,1012.82086181641,1420.92504882813,
Burkina Faso,BF,Electricity generated from geothermal energy (GWh),GWh,Electricity,Supply,/aep/country/burkina-faso,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Burkina Faso,BF,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,/aep/country/burkina-faso,AFREC Database,98.2679977416992,53.181999206543,63.7550010681152,96.0,100.0,99.0,80.0,110.0,135.932312011719,132.297088623047,117.538246154785,81.9494400024414,96.6458740234375,105.542701721191,64.0,93.4619979858398,102.385124206543,124.09455871582,128.929992675781,130.207748413086,131.518417358398,123.631958007813,
Burkina Faso,BF,Electricity generated from nuclear power (GWh),GWh,Electricity,Supply,/aep/country/burkina-faso,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Burkina Faso,BF,Electricity generated from renewable sources (GWh),GWh,Electricity,Supply,/aep/country/burkina-faso,AFREC Database,104.267997741699,61.181999206543,73.754997253418,96.0,100.0,99.0,80.0,110.0,135.932312011719,132.297088623047,117.538246154785,81.9494400024414,96.6458740234375,105.542701721191,69.0,93.588996887207,102.51252746582,196.636947631836,183.019989013672,188.052352905273,194.850494384766,186.608764648438,
Burkina Faso,BF,"Electricity generated from solar, wind, tide, wave and other sources (GWh)",GWh,Electricity,Supply,/aep/country/burkina-faso,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.127000004053116,0.12740695476532,72.5423965454102,54.0900001525879,57.8446083068848,63.3320808410645,62.866813659668,
Burkina Faso,BF,Electricity generation per capita (KWh),KWh per capita,Electricity,Supply,/aep/country/burkina-faso,AFREC Database,34.9991455078125,31.9125232696533,31.0544128417969,35.1650238037109,36.2225151062012,36.4329109191895,39.6067504882813,42.8918304443359,42.1655540466309,46.2178840637207,36.2295875549316,38.0688552856445,28.8778190612793,42.8035316467285,44.9790115356445,99.582893371582,102.059051513672,85.6814727783203,54.296932220459,55.9279899597168,57.774040222168,74.7795944213867,
